title,reference,identified through database searching,source,study year,screened,full text screened,relevant intervention,low- or middle-income country,RCT,includes children under 5,authors contacted,authors responded ,mortality data collected,mortality data still available,include
Effects of adding household water filters to Rwanda’s Community-Based Environmental Health Promotion Programme: a cluster-randomized controlled trial in Rwamagana district,"Haque, Sabrina, Miles A. Kirby, Laurien Iyakaremye, et al. “Effects of Adding Household Water Filters to Rwanda’s Community-Based Environmental Health Promotion Programme: A Cluster-Randomized Controlled Trial in Rwamagana District.” Npj Clean Water 5, no. 1 (2022): 42. https://doi.org/10.1038/s41545-022-00185-y.",0,Hubbard et al 2025,2022,1,1,1,1,1,1,1,,,,
"Effects of a community-driven water, sanitation and hygiene intervention on water and sanitation infrastructure, access, behaviour, and governance: a cluster-randomised controlled trial in rural Democratic Republic of Congo","Quattrochi, John Paul, Aidan Coville, Eric Mvukiyehe, et al. “Effects of a Community-Driven Water, Sanitation and Hygiene Intervention on Water and Sanitation Infrastructure, Access, Behaviour, and Governance: A Cluster-Randomised Controlled Trial in Rural Democratic Republic of Congo.” BMJ Global Health 6, no. 5 (2021): e005030. https://doi.org/10.1136/bmjgh-2021-005030.",0,Bauza et al 2023,2021,1,1,1,1,1,1,1,,,,
"The effect of SODIS water treatment intervention at the household level in reducing diarrheal incidence among children under 5 years of age: a cluster randomized controlled trial in Dabat district, northwest Ethiopia","Bitew, Bikes Destaw, Yigzaw Kebede Gete, Gashaw Andargie Biks, and Takele Tadesse Adafrie. “The Effect of SODIS Water Treatment Intervention at the Household Level in Reducing Diarrheal Incidence among Children under 5 Years of Age: A Cluster Randomized Controlled Trial in Dabat District, Northwest Ethiopia.” Trials 19, no. 1 (2018): 412. https://doi.org/10.1186/s13063-018-2797-y.",0,Soboksa et al 2020,2018,1,1,1,1,1,1,1,,,,
Solar disinfection of water for diarrhoeal prevention in southern India,"Rose, A, S Roy, V Abraham, et al. “Solar Disinfection of Water for Diarrhoeal Prevention in Southern India.” Archives of Disease in Childhood 91, no. 2 (2006): 139–41. https://doi.org/10.1136/adc.2005.077867.",0,Soboksa et al 2020,2006,1,1,1,1,1,1,1,,,,
"Impact of a school-based water, sanitation, and hygiene intervention on school absence, diarrhea, respiratory infection, and soil-transmitted helminths: results from the WASH HELPS cluster-randomized trial","Chard, Anna N, Joshua V Garn, Howard H Chang, Thomas Clasen, and Matthew C Freeman. “Impact of a School-Based Water, Sanitation, and Hygiene Intervention on School Absence, Diarrhea, Respiratory Infection, and Soil-Transmitted Helminths: Results from the WASH HELPS Cluster-Randomized Trial.” Journal of Global Health 9, no. 2 (n.d.): 020402. https://doi.org/10.7189/jogh.09.020402.",0,Bauza et al 2023,2019,1,1,1,1,1,1,1,,,,
"Effectiveness of a Household Water, Sanitation and Hygiene Package on an Outpatient Program for Severe Acute Malnutrition: A Pragmatic Cluster-Randomized Controlled Trial in Chad","Altmann, Mathias, Chiara Altare, Nanette van der Spek, et al. “Effectiveness of a Household Water, Sanitation and Hygiene Package on an Outpatient Program for Severe Acute Malnutrition: A Pragmatic Cluster-Randomized Controlled Trial in Chad.” The American Journal of Tropical Medicine and Hygiene 98, no. 4 (2018): 1005–12. https://doi.org/10.4269/ajtmh.17-0699.",0,Bauza et al 2023,2018,1,1,1,1,1,1,1,,,,
"Effect of household water treatment with chlorine on diarrhea among children under the age of five years in rural areas of Dire Dawa, eastern Ethiopia: A cluster randomized controlled trial","Solomon, Ephrem Tefera, Sirak Robele, Helmut Kloos, and Bezatu Mengistie. “Effect of Household Water Treatment with Chlorine on Diarrhea among Children under the Age of Five Years in Rural Areas of Dire Dawa, Eastern Ethiopia: A Cluster Randomized Controlled Trial.” Infectious Diseases of Poverty 9, no. 1 (2020): 64. https://doi.org/10.1186/s40249-020-00680-9.",1,New addition,2020,1,1,1,1,1,1,1,,,,
"Impact of Low-Cost Point-of-Use Water Treatment Technologies on Enteric Infections and Growth among Children in Limpopo, South Africa.","Hill, Courtney L., Kelly McCain, Mzwakhe E. Nyathi, et al. “Impact of Low-Cost Point-of-Use Water Treatment Technologies on Enteric Infections and Growth among Children in Limpopo, South Africa.” The American Journal of Tropical Medicine and Hygiene 103, no. 4 (2020): 1405–15. https://doi.org/10.4269/ajtmh.20-0228.",1,New addition,2020,1,1,1,1,1,1,1,,,,
"One Week Prevalence and Incidence of Diarrhea: baseline Status of Cluster Randomised Controlled Trial of Nano Maji Filter System in Geita, Tanzania","Mashoto, Kijakazi O, Justin J Omolo, and Paul E Kazyoba. “One Week Prevalence and Incidence of Diarrhea: Baseline Status of Cluster Randomised Controlled Trial of Nano Maji Filter System in Geita, Tanzania.” The East African Health Research Journal 6, no. 1 (2022): 98–105. https://doi.org/10.24248/eahrj.v6i1.684.",1,New addition,2022,1,1,1,1,1,1,1,,,,
"Use, Acceptability, Performance, and Health Impact of Hollow Fiber Ultrafilters for Water Treatment in Rural Kenyan Households, 2009-2011.","Fagerli, Kirsten, Laura Gieraltowski, Benjamin Nygren, et al. “Use, Acceptability, Performance, and Health Impact of Hollow Fiber Ultrafilters for Water Treatment in Rural Kenyan Households, 2009–2011.” The American Journal of Tropical Medicine and Hygiene 103, no. 1 (2020): 465–71. https://doi.org/10.4269/ajtmh.19-0862.",1,New addition,2020,1,1,1,1,1,1,1,,,,
