CENTRAL ID,Author(s),Title,Source,Year,Abstract,Volume,Issue,Pages,Database Name,PubMed ID,Embase ID,CTgov ID,CINAHL ID,ICTRP ID,Publication Type,Keywords,DOI,URL,Cochrane Review Group Code
CN-02757110,"Contreras, JD; Islam, M; Mertens, A; Pickering, AJ; Arnold, BF; Benjamin-Chung, J; Hubbard, AE; Rahman, M; Unicomb, L; Luby, SP; Colford, JM; Ercumen, A",Improved Child Feces Management Mediates Reductions in Childhood Diarrhea from an On-Site Sanitation Intervention: causal Mediation Analysis of a Cluster-Randomized Trial in Rural Bangladesh,Journal of epidemiology and global health,2024,"BACKGROUND: The WASH benefits Bangladesh trial multi‐component sanitation intervention reduced diarrheal disease among children < 5 years. Intervention components included latrine upgrades, child feces management tools, and behavioral promotion. It remains unclear which components most impacted diarrhea. METHODS: We conducted mediation analysis within a subset of households (n = 720) from the sanitation and control arms. Potential mediators were categorized into indicators of latrine quality, latrine use practices, and feces management practices. We estimated average causal mediation effects (ACME) as prevalence differences (PD), defined as the intervention's effect on diarrhea through its effect on the mediator. RESULTS: The intervention improved all indicators compared to controls. We found significant mediation through multiple latrine use and feces management practice indicators. The strongest mediators during monsoon seasons were reduced open defecation among children aged < 3 and 3‐8 years, and increased disposal of child feces into latrines. The strongest mediators during dry seasons were access to a flush/pour‐flush latrine, reduced open defecation among children aged 3‐8 years, and increased disposal of child feces into latrines. Individual mediation effects were small (PD = 0.5‐2 percentage points) compared to the overall intervention effect but collectively describe significant mediation pathways. DISCUSSION: The effect of the WASH Benefits Bangladesh sanitation intervention on diarrheal disease was mediated through improved child feces management and reduced child open defecation. Although the intervention significantly improved latrine quality, relatively high latrine quality at baseline may have limited benefits from additional improvements. Targeting safe child feces management may increase the health benefits of rural sanitation interventions.",14,3,765‐778,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 38507184,,,,,Journal article,"*Diarrhea [epidemiology, prevention & control]; *Feces; *Rural Population [statistics & numerical data]; *Sanitation [methods, standards]; *Toilet Facilities [standards, statistics & numerical data]; Bangladesh [epidemiology]; Child; Child, Preschool; Cluster Analysis; Female; Humans; Infant; Male; Mediation Analysis",10.1007/s44197-024-00210-y,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02757110/full,
CN-02364481,"Sclar, GD; Bauza, V; Mosler, HJ; Bisoyi, A; Chang, HH; Clasen, TF","Study design and rationale for a cluster randomized trial of a safe child feces management intervention in rural Odisha, India",BMC public health,2022,"BACKGROUND: Poor child feces management (CFM) is believed to be an important source of exposure to enteric pathogens that contribute to a large disease burden in low‐income settings. While access to sanitation facilities is improving, national surveys indicate that even households with latrines often do not safely dispose of their child's feces. Working with caregivers in rural Odisha, India, we co‐developed an intervention aimed at improving safe disposal of child feces and encouraging child latrine use at an earlier age. We describe the rationale for the intervention and summarize the protocol for a cluster randomized trial (CRT) to evaluate its effectiveness at changing CFM practices. METHODS: The intervention consists of six behavior change strategies together with hardware provision: wash basin and bucket with lid to aid safe management of soiled nappies and a novel latrine training mat to aid safe disposal and latrine training. The intervention will be offered at the village level to interested caregivers of children < 5 years of age by a community‐based organization. Following a baseline survey, 74 villages were randomly allocated to either intervention or control arm. The primary outcome is caregiver reported safe disposal of child feces after last defecation, either by the caregiver disposing of the child's feces into the latrine or the child using the latrine, measured approximately four to six months following intervention delivery. Secondary outcomes include fecal contamination of household drinking water and the childs' hands. A process evaluation will also be conducted to assess intervention fidelity and reach, and explore implementer and participant feedback. DISCUSSION: This study addresses a crucial knowledge gap in sanitation by developing a scalable intervention to improve safe management of child feces. The behavior change strategies were designed following the Risks, Attitudes, Norms, Abilities and Self‐Regulation (RANAS) approach, which has shown to be effective for other environmental behavior change interventions in low‐income settings. The latrine training mat hardware is a novel design developed cooperatively and manufactured locally. The evaluation follows a rigorous CRT study design assessing the impact of the intervention on CFM behavior change, as well as fecal contamination of two sources of potential exposure. TRIAL REGISTRATION: This trial is registered at ISRCTN: ISRCTN15831099.",22,1,106,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 35033048,EMBASE 637081315,,,,Journal article,*Odisha; *Sanitation [methods]; *Toilet Facilities; *behavior change; *feces; *sanitation; Article; Autoregulation; Caregiver; Case report; Child; Clinical article; Comparative effectiveness; Computer; Contamination; Defecation; Family Characteristics; Feces; Female; Household; Human; Human experiment; Humans; India; Lowest income group; Male; Outcome assessment; Randomized Controlled Trials as Topic; Randomized controlled trial; Risk attitude; Rural Population,10.1186/s12889-021-12405-0,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02364481/full,
CN-02404547,"Lowe, J; Ercumen, A; Prottas, C; Harris, AR",Exploring the determinants and indicators of poultry feces management behaviors in rural Western Uganda,Science of the total environment,2022,"Animal ownership has reported financial and nutritional benefits but has also been associated with enteric and respiratory infections, and inadequate sanitation and hygiene can lead to children touching and ingesting animal fecal matter. We identified key indicators for poultry feces management and investigated their social determinants using data from a baseline survey of a randomized‐controlled trial of a poultry management training program in rural Western Uganda. The baseline survey was conducted in the Masindi and Kiryandongo districts of Uganda in September 2019, and data collected from 609 households were used. We evaluated indicators for poultry feces management behaviors using scale development methods, including descriptive statistics, bivariate correlation analyses, and Factor Analysis of Mixed Data. We also investigated social determinants of key poultry feces management behaviors using logistic and multinomial logistic regression models. A significant increase in odds of having free‐roaming poultry was found for each additional poultry owned (OR = 1.18, P < 0.001). The odds of a household having an observed enclosure for poultry increased by 5% with each incremental poultry owned (OR = 1.05, P < 0.001), and by 4% with increasing wealth with each additional point on the poverty probability index score (OR = 1.04, P < 0.001). Our results also suggest enclosures are intermittently used and constructing them without further intervention likely will not be sufficient for effectively managing animal fecal contamination. We recommend that future studies on animal feces management measure indicators for corralling and feces disposal practices and evaluate their relationship to enteric pathogen exposure and health outcomes. Insights from this work can inform the development of robust indicators of poultry feces management behaviors that can be used for monitoring and evaluation purposes.",834,,155202,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 35421491,,,,,Journal article,Animals; Feces; Humans; Hygiene; Poultry; Sanitation; Uganda,10.1016/j.scitotenv.2022.155202,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02404547/full,
CN-02742995,"Sclar, GD; Bauza, V; Bisoyi, A; Majorin, F; Mosler, HJ; Clasen, TF","Effect of a behavior change and hardware intervention on safe child feces management practices in rural Odisha, India: a cluster-randomized controlled trial",BMC public health,2024,"BACKGROUND: Poor child feces management contributes to enteropathogen exposure and, consequently, is associated with diarrheal disease and negative impacts on child growth. Despite high latrine coverage, only 37% of Indian households safely dispose of their child's feces into a latrine or have the child use the latrine, with the lowest rate in the state of Odisha at 12%. We evaluated a behavior change and hardware intervention designed to improve caregiver safe disposal of child feces and child latrine use. METHODS: We conducted a cluster‐randomized controlled trial among 74 villages in rural Odisha, India. Eligible villages previously participated in a water and sanitation infrastructure program. Following a baseline survey, half the villages were assigned to intervention and half to control. Caregivers of children < 5 years old from households with a latrine were eligible to participate. The intervention included five behavior change activities. Hardware was provided at the first activity, based on child age, to aid safe disposal and latrine training (wash basin and bucket with lid for children < 7 months old; latrine training mat platform with removable tray for children 7 to 48 months old). The primary outcome was caregiver reported 'safe disposal' as defined by the WHO/UNICEF Joint Monitoring Programme (JMP) which encompasses two behaviors: caregiver disposal of child's feces into a latrine and child latrine use. Safe disposal was measured four to six months after intervention delivery (endline). RESULTS: Endline analysis included 665 intervention caregivers (840 children) and 634 control caregivers (785 children). Prevalence of JMP‐defined safe disposal was 1.16 times greater in the intervention arm compared to control (77.7% vs. 65.9%; prevalence ratio [PR] 1.16, 95% CI 1.04‐1.29), with higher prevalence of caregiver safe disposal (18.6% vs. 13.6%; PR 1.46, 95% CI 1.12‐1.92) but no significant difference in child latrine use (59.0% vs. 52.2%; PR 1.06, 95% CI 0.95‐1.18). When restricted to children < 3 years old, JMP‐defined safe disposal was 1.42 times greater (67.5% vs. 46.7%; PR 1.42 95% CI 1.21‐1.67) with higher prevalence of both caregiver safe disposal (34.6% vs. 25.7%; PR 1.44, 95% CI 1.11‐1.86) and child latrine use (32.9% vs. 20.9%; PR 1.41, 95% CI 1.08‐1.83). CONCLUSIONS: The intervention increased JMP‐defined safe disposal, with substantial improvements in both caregiver safe disposal and child latrine use among children < 3 years old. While future research is needed to demonstrate sustainability of these effects, our results suggest a potentially scalable intervention for improving child feces disposal and reducing disease. TRIAL REGISTRATION: This trial was retrospectively registered at ISRCTN15831099 on 18/02/2020, which was approximately two months after the first participant was recruited for the baseline survey on 02/12/2019.",24,1,2327,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 39192252,,,,,Journal article,"*Feces; *Rural Population [statistics & numerical data]; *Toilet Facilities [statistics & numerical data]; Adult; Caregivers [education, psychology, statistics & numerical data]; Child, Preschool; Cluster Analysis; Female; Humans; India; Infant; Male; Sanitation [standards]",10.1186/s12889-024-19272-5,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02742995/full,
CN-02077519,"McGuinness, SL; O'Toole, J; Ayton, D; Giriyan, A; Gaonkar, CA; Vhaval, R; Cheng, AC; Leder, K",Barriers and Enablers to Intervention Uptake and Health Reporting in a Water Intervention Trial in Rural India: a Qualitative Explanatory Study,American journal of tropical medicine and hygiene,2020,"Consumption of unsafe drinking water contributes to the global disease burden, necessitating identification and implementation of effective, acceptable, and sustainable water interventions in resource‐limited settings. In a quantitative stepped‐wedge cluster randomized trial of a community‐based water intervention in rural India, we identified low rates of intervention uptake and reported diarrhea. To better understand and explain these findings, we performed a qualitative study examining barriers and enablers to intervention uptake and health reporting using the COM‐B model, where capabilities, opportunities, and motivators interact to generate behavior. We conducted 20 focus groups and one semi‐structured interview with participants and four focus groups with data collectors. Multifactorial barriers to intervention uptake included distorted perceptions of water‐related health effects, implementation issues that reduced treated water availability; convenience of, and preference for, alternative drinking water sources; delivery of water to plastic storage tanks (perceived as affecting water quality and taste); and resistance to change. Enablers included knowledge of water‐related health risks, proximity to tanks, and social opportunity. Barriers to health reporting included variability in interpretation of illness, suspicion regarding the consequences of reporting disease, weariness with repeated questions, and perceived inaction on health data already provided; low survey implementation fidelity was also important. Enablers included surveyor initiatives to encourage reporting and a sense of social responsibility. This qualitative explanatory study allowed better understanding of our quantitative results. It also identified obstacles and facilitators to implementing and evaluating community water interventions, providing insight on how to achieve better intervention uptake and health reporting in future studies.",102,3,507‐517,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 31933461,EMBASE 630607307,,,,Journal article,"*India; *intervention study; Adult; Article; Controlled study; Data Collection; Diarrhea; Drinking Water; Fatigue; Female; Focus Groups; Health hazard; Human; Humans; India [epidemiology]; Perception; Qualitative Research; Qualitative research; Randomized controlled trial; Rural Population; Semi structured interview; Social responsibility; Water Purification [*methods, *standards]; Water Supply [*standards]; Water availability; Water quality",10.4269/ajtmh.19-0486,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02077519/full,
CN-02727115,"Gallandat, K; Macdougall, A; Jeandron, A; Mufitini Saidi, J; Bashige Rumedeka, B; Malembaka, EB; Azman, AS; Bompangue, D; Cousens, S; Allen, E; Cumming, O","Improved water supply infrastructure to reduce acute diarrhoeal diseases and cholera in Uvira, Democratic Republic of the Congo: results and lessons learned from a pragmatic trial",PLoS neglected tropical diseases,2024,"BACKGROUND: Safely managed drinking water is critical to prevent diarrhoeal diseases, including cholera, but evidence on the effectiveness of piped water supply in reducing these diseases in low‐income and complex emergency settings remains scarce. METHODS: We conducted a trial of water supply infrastructure improvements in Uvira (DRC). Our primary objective was to estimate the relationship between a composite index of water service quality and the monthly number of suspected cholera cases admitted to treatment facilities and, as a secondary analysis, the number of cases confirmed by rapid diagnostic tests. Other exposures included the quantity of supplied water and service continuity. We used Poisson generalised linear models with generalised estimating equations to estimate incidence rate ratios. FINDINGS: Associations between suspected cholera incidence and water service quality (RR 0·86, 95% CI 0·73‐1·01), quantity (RR 0·80, 95% CI 0·62‐1·02) and continuity (RR 0·81, 95% CI 0·77‐0·86) were estimated. The magnitudes of the associations were similar between confirmed cholera incidence and water service quality (RR 0·84, 95% CI 0·73‐0·97), quantity (RR 0·76, 95% CI 0·61‐0·94) and continuity (RR 0·75, 95% CI 0·69‐0·81). These results suggest that an additional 5 L/user/day or 1.2 hour per day of water production could reduce confirmed cholera by 24% (95% CI 6‐39%) and 25% (95% CI 19‐31%), respectively. INTERPRETATION: Ensuring a sufficient and continuous piped water supply may substantially reduce the burden of endemic cholera and diarrhoeal diseases but evaluating this rigorously is challenging. Pragmatic strategies are needed for public health research on complex interventions in protracted emergency settings. TRIAL REGISTRATION: The trial is registered in ClinicalTrials.gov ID NCT02928341. https://classic.clinicaltrials.gov/ct2/show/NCT02928341.",18,7,e0012265,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 38959264,EMBASE 644684951,,,,Journal article,"*Cholera [epidemiology, prevention & control]; *Democratic Republic Congo; *Diarrhea [epidemiology, prevention & control]; *Water Supply [standards]; *cholera; *diarrhea; *infrastructure; *pragmatic trial; *water supply; Adolescent; Adult; Article; Child; Child, Preschool; Democratic Republic of the Congo [epidemiology]; Drinking Water [microbiology]; Drinking water; Female; Human; Humans; Incidence; Infant; Lowest income group; Major clinical study; Male; Middle Aged; Rapid test; Secondary analysis; Water Quality; Young Adult",10.1371/journal.pntd.0012265,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02727115/full,
CN-02526209,"Robertson, RC; Edens, TJ; Carr, L; Mutasa, K; Gough, EK; Evans, C; Geum, HM; Baharmand, I; Gill, SK; Ntozini, R; Smith, LE; Chasekwa, B; Majo, FD; Tavengwa, NV; Mutasa, B; Francis, F; Tome, J; Stoltzfus, RJ; Humphrey, JH; Prendergast, AJ; Manges, AR",The gut microbiome and early-life growth in a population with high prevalence of stunting,Nature communications,2023,"Stunting affects one‐in‐five children globally and is associated with greater infectious morbidity, mortality and neurodevelopmental deficits. Recent evidence suggests that the early‐life gut microbiome affects child growth through immune, metabolic and endocrine pathways. Using whole metagenomic sequencing, we map the assembly of the gut microbiome in 335 children from rural Zimbabwe from 1‐18 months of age who were enrolled in the Sanitation, Hygiene, Infant Nutrition Efficacy Trial (SHINE; NCT01824940), a randomized trial of improved water, sanitation and hygiene (WASH) and infant and young child feeding (IYCF). Here, we show that the early‐life gut microbiome undergoes programmed assembly that is unresponsive to the randomized interventions intended to improve linear growth. However, maternal HIV infection is associated with over‐diversification and over‐maturity of the early‐life gut microbiome in their uninfected children, in addition to reduced abundance of Bifidobacterium species. Using machine learning models (XGBoost), we show that taxonomic microbiome features are poorly predictive of child growth, however functional metagenomic features, particularly B‐vitamin and nucleotide biosynthesis pathways, moderately predict both attained linear and ponderal growth and growth velocity. New approaches targeting the gut microbiome in early childhood may complement efforts to combat child undernutrition.",14,1,654,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 36788215,EMBASE 2021630717,,,,Journal article,"*Gastrointestinal Microbiome [genetics]; *HIV Infections; *gastrointestinal tract; *microbiome; *prevalence; *stunting; Article; Bacterial growth; Bifidobacterium; Biosynthesis; Child; Child growth; Child nutrition; Child, Preschool; Childhood; Clinical trial; Controlled study; Drug efficacy; Female; Growth Disorders [epidemiology]; Growth rate; Human; Human immunodeficiency virus infection; Humans; Hygiene; Infant; Infant nutrition; Machine learning; Major clinical study; Malnutrition; Maturity; Metagenomics; Nonhuman; Prevalence; Randomized controlled trial; Sanitation; Water Supply; Zimbabwe",10.1038/s41467-023-36135-6,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02526209/full,
CN-02706244,"Swarthout, JM; Mureithi, M; Mboya, J; Arnold, BF; Wolfe, MK; Dentz, HN; Lin, A; Arnold, CD; Rao, G; Stewart, CP; Clasen, T; Colford, JM; Null, C; Pickering, AJ",Addressing Fecal Contamination in Rural Kenyan Households: the Roles of Environmental Interventions and Animal Ownership,Environmental science & technology,2024,"Combined water, sanitation, and handwashing (WSH) interventions could reduce fecal contamination along more transmission pathways than single interventions alone. We measured Escherichia coli levels in 3909 drinking water samples, 2691 child hand rinses, and 2422 toy ball rinses collected from households enrolled in a 2‐year cluster‐randomized controlled trial evaluating single and combined WSH interventions. Water treatment with chlorine reduced E. coli in drinking water. A combined WSH intervention improved water quality by the same magnitude but did not affect E. coli levels on hands or toys. One potential explanation for the limited impact of the sanitation intervention (upgraded latrines) is failure to address dog and livestock fecal contamination. Small ruminant (goat or sheep) ownership was associated with increased E. coli levels in stored water and on child hands. Cattle and poultry ownership was protective against child stunting, and domesticated animal ownership was not associated with child diarrhea. Our findings do not support restricting household animal ownership to prevent child diarrheal disease or stunting but do support calls for WSH infrastructure that can more effectively reduce household fecal contamination.",58,22,9500‐9514,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 38760010,EMBASE 2032388583,,,,Journal article,*Escherichia coli; *Family Characteristics; *Feces [microbiology]; *Kenyan; *contamination; *diarrhea; *hand washing; *household; *sanitation; *signal transduction; *stunting; Animals; Article; Bovine; Child; Controlled study; Diarrhea; Dog; Domestic animal; Drinking Water [microbiology]; Escherichia coli; Female; Goat; Hand Disinfection; Human; Humans; Kenya; Livestock; Male; Nonhuman; Ownership; Poultry; Randomized controlled trial; Ruminant; Rural Population; Sanitation; Sheep; Water Microbiology; Water quality; Water treatment,10.1021/acs.est.3c09419,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02706244/full,
CN-02299427,"Gallandat, K; Jeandron, A; Ross, I; Mufitini Saidi, J; Bashige Rumedeka, B; Lumami Kapepula, V; Cousens, S; Allen, E; MacDougall, A; Cumming, O","The impact of improved water supply on cholera and diarrhoeal diseases in Uvira, Democratic Republic of the Congo: a protocol for a pragmatic stepped-wedge cluster randomised trial and economic evaluation",Trials,2021,"INTRODUCTION: Diarrhoeal disease remains a leading cause of mortality and morbidity worldwide. Cholera alone is estimated to cause 95,000 deaths per year, most of which occur in endemic settings with inadequate water access. Whilst a global strategy to eliminate cholera by 2030 calls for investment in improved drinking water services, there is limited rigorous evidence for the impact of improved water supply on endemic cholera transmission in low‐income urban settings. Our protocol is designed to deliver a pragmatic health impact evaluation of a large‐scale water supply intervention in Uvira (Democratic Republic of the Congo), a cholera transmission hotspot. METHODS/DESIGN: A stepped‐wedge cluster randomised trial (SW‐CRT) was designed to evaluate the impact of a large‐scale drinking water supply intervention on cholera incidence among the 280,000 inhabitants of Uvira. The city was divided into 16 clusters, where new community and household taps will be installed following a randomised sequence over a transition period of up to 8 weeks in each cluster. The primary trial outcomes are the monthly incidence of ""confirmed"" cholera cases (patients testing positive by rapid detection kit) and of ""suspected"" cholera cases (patients admitted to the cholera treatment centre). Concurrent process and economic evaluations will provide further information on the context, costs, and efficiency of the intervention. DISCUSSION: In this protocol, we describe a pragmatic approach to conducting rigorous research to assess the impacts of a complex water supply intervention on severe diarrhoeal disease and cholera in an unstable, low‐resource setting representative of cholera‐affected areas. In particular, we discuss a series of pre‐identified risks and linked mitigation strategies as well as the value of combining different data collection methods and preparation of multiple analysis scenarios to account for possible deviations from the protocol. The study described here has the potential to provide robust evidence to support more effective cholera control in challenging, high‐burden settings. TRIAL REGISTRATION: This trial is registered on clinicaltrials.gov ( NCT02928341 , 10th October 2016) and has received ethics approval from the London School of Hygiene and Tropical Medicine (8913, 10603) and from the Ethics Committee from the School of Public Health, University of Kinshasa, Democratic Republic of the Congo (ESP/CE/088/2015).",22,1,408,Cochrane Central Register of Controlled Trials (CENTRAL),PUBMED 34154636,EMBASE 635416133,,,,Journal article,"*cholera /diagnosis /epidemiology /prevention; Cholera [diagnosis, epidemiology, prevention & control]; Cities; City; Cost benefit analysis; Cost‐Benefit Analysis; Democratic Republic Congo; Democratic Republic of the Congo [epidemiology]; Diarrhea /diagnosis /epidemiology /prevention; Diarrhea [diagnosis, epidemiology, prevention & control]; England; Human; Humans; London; Randomized Controlled Trials as Topic; Randomized controlled trial (topic); Water Supply; Water supply",10.1186/s13063-021-05249-x,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02299427/full,
CN-02234712,"NCT04736615,",SAFEWATER Health & Behaviour Impact Field Trials; Mexico,https://clinicaltrials.gov/show/NCT04736615,2021,"At least 1.8 billion people globally use a source of drinking water that is faecally contaminated and thus likely to lead to diarrheal illness: nearly 1,000 children die each day due to water and sanitation‐related diarrhoeal diseases. Diseases related to the consumption of contaminated drinking‐water place a major burden on human health. In 2017, 785 million people still lacked access to an improved drinking water source, and these are mostly the poor and marginalised. Almost a quarter of those people rely on surface water that is untreated and over 90% live in rural areas. Many people are forced to rely on sources that are microbiologically unsafe, leading to a higher risk of contracting waterborne diseases, including typhoid, hepatitis A and E, polio and cholera. The objectives of the SAFEWATER project is to develop technologies to provide clean water to economically deprived communities in rural Colombia and Mexico. These water technologies will be tested under real conditions with the cooperation of the rural communities. The SAFEWATER field trials aims to evaluate the health and behaviour impacts of implementing SAFEWATER water treatment technologies for drinking water disinfection, with a behavioral change intervention, within rural communities in Colombia and Mexico The project has three specific objectives: 1. Assess water quality improvement at household level 2. Assess behaviors and test behavioral interventions 3. Assess child growth and related health outcomes Three communities in Colombia and one community in Mexico were recruited to take part in the study. Communities were selected based on factors such as current availability of clean water, accessibility, safety, community size and current activities within the communities. Pilot and feasibility studies were carried out prior to commencing field trials, thus the design of the trials vary across countries. Mexico field trial: The trial in Mexico will use a stepped‐wedge design, randomized at household level over a 12‐month period (6‐12 steps dependent on adherence and feasibility). All households (max n200) willing to be involved will be recruited (separate clinicaltrials.gov registration). Colombia field trial: the trial in Colombia will use a non‐randomized parallel design (2:1; intervention:control). A maximum of 84 households (54:30; intervention:control) will be recruited to take part, with families with young children (<12 years) prioritized. Outcomes for both countries will include 1) water quality, 2) water‐related behaviour (e.g. frequency of system use, uses of treated / raw water), and 3) health, e.g. diarrhoea prevalence, growth (height/weight), school attendance, water insecurity status, gut integrity. Impact: The development and deployment of the SAFEWATER technology has the potential to impact on clean drinking water access for participating communities in Mexico and Colombia and subsequently on the health and wellbeing of those individuals involved. Additionally if successful, the work will also provide an evidence based model for the provision of improved access to clean drinking water for rural communities in developing regions more widely.",,,,Cochrane Central Register of Controlled Trials (CENTRAL),,,CTgov NCT04736615,,,Trial registry record,Waterborne Diseases,,https://www.cochranelibrary.com/central/doi/10.1002/central/CN-02234712/full,
