"title","authors","journal","doi","volume","issue","year","abstract"
"Probiotic treatment in an intensive care unit: a narrative review","Takeaki S.","Journal of Intensive Care","10.1186/s40560-025-00803-0","13","1","2025","Diarrhea is common in critically ill patients and can lead to malnutrition, electrolyte imbalance, and dehydration. While its direct impact on outcomes, such as mortality or intensive care unit (ICU) stay, remains unclear due to inconsistent definitions, it often results from drug-induced causes, such as antibiotics and antacids. These agents can also contribute to dysbiosis and increase the risk of infections including Clostridioides difficile infections (CDI) and ventilator-associated pneumonia (VAP). Probiotics, defined as live beneficial microorganisms, can counteract dysbiosis by modulating immune responses, restoring microbial balance, and reducing intestinal inflammation. Evidence suggests that probiotics may help prevent diarrhea and secondary infections. Clinical trials and meta-analyses have shown that probiotics may reduce the incidence of VAP, length of ICU stay, duration of mechanical ventilation, and potential in-hospital mortality in critically ill patients. However, evaluating probiotic efficacy remains challenging due to the lack of standardized markers and the influence of confounding factors like antacid use. In a randomized controlled trial, synbiotic therapy was associated with improved fecal microbiota and reduced infections; however, the role of antacids was not addressed. Probiotics are generally safe, although rare adverse events, such as probiotic-associated bacteremia, have been reported, particularly in immunocompromised individuals. The 2024 Japanese Critical Care Nutrition Guidelines included a systematic review and meta-analysis supporting the potential benefits of probiotics in critically ill patients. However, due to significant heterogeneity in strains, dosing, duration, and concurrent antibiotic/antacid use, a weak recommendation (GRADE 2C; low certainty) was issued. Future research should focus on the standardized evaluation of diarrhea and microbiota changes, the use of objective markers—such as fecal pH and short-chain fatty acid levels—and clarification of the interactions of probiotics with other medications. Comprehensive bowel management, including the cautious use of antibiotics and antacids, may be essential to fully recognize the therapeutic potential of probiotics in critical care settings."
"Fecal microbiota transplantation for Parkinson's disease: A systematic review of clinical evidence","Shekar S., Venkatachalapathy R., Jayaraman A., Sai Supra Siddhu N.","Medicine in Microecology","10.1016/j.medmic.2025.100128","25",NA,"2025","Targeting the gut-brain axis, fecal microbiota transplantation (FMT) has become a cutting-edge therapeutic strategy for treating Parkinson's disease (PD), reducing both motor and non-motor symptoms. With an emphasis on gut microbiota changes, disease progression, and symptom alleviation, this systematic review assesses the safety and effectiveness of FMT in PD patients. Four RCTs, one observational research, one non-randomized control study, one case series, and one case report were among the eight papers that were considered; these studies comprised 144 patients in total. Key findings show that FMT has a good safety profile with only mild to severe adverse effects observed, and it significantly improves PD symptoms, notably constipation. Colonic, Nasointestinal, and oral administration were among the delivery routes used to assess treatment effectiveness using the MDS-UPDRS scale. The research reveals differences in the makeup of microbiota and emphasizes how FMT may affect the gut-brain axis, hence resolving neurological abnormalities in Parkinson's disease. Small sample numbers, variations in FMT methods, and the absence of long-term follow-up data are some of the limitations. This study highlights FMT's potential as an adjunctive treatment for Parkinson's disease (PD), especially in improving patient quality of life and reducing non-motor symptoms. To provide standardized procedures and validate long-term safety and effectiveness, bigger multicentre trials are necessary."
"Use of pectin-supplemented enteral nutrition in intensive care: A systematic review and meta-analysis","Huang H.-B., Zhu Y.-B., Yu D.-X.","Clinical Nutrition ESPEN","10.1016/j.clnesp.2025.04.008","68",NA,"2025","Background: Pectin is a water-soluble dietary fiber that has been widely used in hospitalized patients. However, there is insufficient high-quality evidence to support its use in critically ill patients. Therefore, we aimed to conduct a systematic review and meta-analysis to evaluate the efficacy and safety of pectin-supplemented enteral nutrition (PSEN) on diarrhea and other important outcomes in this patient population. Methods: We searched PubMed, Embase, China National Knowledge Infrastructure, Wanfang, and the Cochrane database for relevant articles from inception to Oct 15, 2023. Studies were included if they focused on adult ICU patients receiving PSEN compared to controls. The primary outcome was diarrhea. We assessed study quality and performed subgroup analysis, sensitivity analysis, GRADE system and trial sequential analysis (TSA) to explore potential heterogeneity among the included studies. Results: Twelve trials with 1,405 patients were included. Overall, PSEN significantly reduced the risk of diarrhea (odds ratio [OR] = 0.40; 95 % CI, 0.30–0.54; P < 0.00001). This finding was confirmed in further subgroup and sensitivity analyses. Of note, PSEN significantly reduced the risk of diarrhea in patients who did not use PPIs but not in those who did. PSEN also significantly reduced infectious complications (OR = 0.43; 95 % CI, 0.26–0.70; P = 0.0007), ICU length of stay (MD = −3.59 days; 95 % CI, −7.13 to −0.05; P = 0.05), and hospital length of stay (MD = −6.79 days; 95 % CI, −10.24 to −3.34; P = 0.0001). In addition, PSEN significantly reduced intestinal intolerance symptoms (vomiting [OR = 0.27; 95 % CI, 0.15–0.48], feeding intolerance [OR = 0.39; 95 % CI, 0.22–0.68], abdominal distension [OR = 0.22; 95 % CI, 0.22–0.46] and severe constipation [OR = 0.20; 95 % CI, 0.12–0.35]) and nutrition status (shorter time to target EN amount [MD = −1.81 days; 95 % CI, −2.18 to −1.44] and prealbumin changes [MD = −1.81 days; 95 % CI, −2.18 to −1.44]) but did not affect mortality (OR = 0.86; 95 % CI, 0.56–1.33) in this patient population. TSA and sensitivity analyses confirmed the primary findings. Conclusions: PSEN significantly had better feeding intolerance, and improved important clinical outcomes. Further studies with better PSEN protocol are required to validate our findings."
"Systematic review and meta-analysis of randomized controlled trials on pre-, pro-, post- and synbiotic supplementation in follow-on formula","Delcourt H., Verbrugghe L., Vandenplas Y., Huysentruyt K.","Clinical Nutrition","10.1016/j.clnu.2025.05.022","51",NA,"2025","Background & aim: The remarkable plasticity of the gut microbiome during the first three years of life offers a critical window of opportunity to influence gut health. The aim of this study is to summarize high quality evidence from randomized controlled trials on the health benefits (respiratory tract infections, diarrheal episodes, febrile days, antibiotic use, microbiome modulation and secretory IgA) of prebiotics, probiotics, synbiotics and postbiotics added to follow-on formula. Methods: A comprehensive literature search for randomized controlled trials (RCTs) using Medline, Embase, Lilacs, and Cochrane was performed up to February 2025 (PROSPERO CRD42024500457). Only RCTs involving healthy children between six months and three years were considered. Quality assessment was done using the ROBINS II tool. Random effects models were used to obtain odd ratio (OR) and number needed to treat (NNT) via meta-analysis. Results: Out of 2755 search results, 23 studies were included (n = 6984 children) with an overall low risk of bias (14/23) as assessed by the Robins II tool. The OR for respiratory tract infections in pro-,pre- and synbiotics added to a follow-on formula was 0.22 (95 % CI: 0.05–1.09; NNT = 82; CI 95 %: 67–674), 0.84 (95 % CI: 0.66–1.07; NNT = 28; 95 % CI: 11–75) and 0.75 (95 % CI: 0.54–1.05; NNT = 18; 95 % CI: 9–102), respectively. The OR for diarrheal episodes in pre- and synbiotics added to a follow-on formula 1.40 (95 % CI: 0.71–2.79; NNT = 40, 95 % CI: 10–53) and 1.26 (95 % CI: 0.96–1.66; NNT = 17, 95%CI: 8–94), respectively. For the combination of other interventions with other outcomes insufficient studies were available to perform a meta-analysis. Conclusion: Pre- and synbiotics may help protect against respiratory tract infection, though they do not appear to offer the same benefit for preventing diarrheal episodes. High quality evidence for the effect of biotics added to follow-on formula on health outcomes is sparse. More research is needed to confirm the observed health effects."
"Effect of long-term azithromycin treatment on gut microbial diversity in children and adolescents with HIV-associated chronic lung disease","Flygel T.T., Bargheet A., Abotsi R.E., Claassen-Weitz S., Simms V., Hjerde E., Mwaikono K.S., Mchugh G., Hameiri-Bowen D., Pettersen V.K., Ferrand R.A., Nicol M., Cavanagh J.P., Flaegstad T., Sovershaeva E.","eBioMedicine","10.1016/j.ebiom.2025.105832","118",NA,"2025","Background: HIV-associated chronic lung disease (HCLD) is common in children and adolescents growing up with HIV. The use of azithromycin (AZM) reduces the rate of acute respiratory exacerbations in this population, however, impact of this treatment on the gut microbiota and associations with blood-derived inflammatory markers have not been studied. Methods: Children and adolescents with HCLD in Harare, Zimbabwe and Blantyre, Malawi were recruited in a double-blind, placebo-controlled trial of once-weekly AZM or placebo for 48 weeks (BREATHE trial, NCT02426112). Rectal swabs were collected at inclusion (N = 346), 48 weeks (treatment end, N = 313), and 72 weeks (six months after treatment cessation, N = 244). The bacterial composition of fecal swabs was determined using 16S rRNA gene sequencing. Plasma biomarkers at inclusion and 48 weeks were measured using Luminex multiplex bead assay. Findings: At 48 weeks, bacterial α-diversity was significantly lower in the AZM group, with 27 bacterial genera showing differential abundance between the study groups. The placebo group exhibited higher interconnectivity between bacterial genera at 48 weeks compared to the AZM group. Correlations between the top seven differentially abundant genera and biomarkers observed at inclusion were no longer significant at 48 weeks in both groups. Depletion of Campylobacter persisted for six months after cessation of AZM treatment. Interpretation: Long-term AZM treatment in HCLD patients affects their gut bacterial composition at least 6 months after its cessation. The consequences of reduced bacterial diversity, such as altered interaction with the immune system and risk of resistance, need further investigation to understand how to optimise gut health during long-term antibiotic treatments. Funding: The study was funded by the Norwegian Research Council and Helse Nord (HNF 1387-17)."
"Reporting quality and evidence support in randomized controlled trials of herbal medicine formulas for vestibular migraine","Wang L., Zheng J., Yang J., Feng Q., Liu J., Lu Z., Zhang J., Zheng G.","Phytomedicine","10.1016/j.phymed.2025.156864","143",NA,"2025","Background: Vestibular migraine (VM) is a prevalent condition characterized by recurrent episodes of dizziness, vertigo, and/or headache, often posing diagnostic and therapeutic challenges. Numerous randomized controlled trials (RCTs) have highlighted potential benefits of herbal medicine formulas (HMFs) for treating VM. However, current evidence remains insufficient to recommend their routine clinical use. The validity of trial results relies heavily on the completeness of the reporting. Therefore, this study aimed to comprehensively evaluate the reporting quality and evidence support of RCTs investigating HMFs for VM. Methods: We performed a comprehensive search across eight databases from their inception to August 2024. The included studies were primarily RCTs assessing the effectiveness and safety of HMFs for treating VM. The quality of the RCTs was evaluated using the Consolidated Standards of Reporting Trials (CONSORT) guidelines, along with its extension for Chinese medicine formulas (CONSORT-CHM Formulas). A meta-analysis was conducted to assess the effectiveness and safety of HMFs for the treatment of VM following the Cochrane methodolog. High-frequency herbal medicines (HMs) for VM treatment were identified as those appearing with a cumulative frequency exceeding 50 % among the top-ranked HMs. Results: A total of 33 RCTs involving 2358 patients with VM were included. The mean score for CONSORT reporting items was 14.24, while the mean score for CONSORT-CHM reporting items was 13.64. Few trials adequately reported essential elements such as appropriate titles, sample size calculations, allocation concealment, randomization implementation, and descriptions of blinding within the CONSORT core items. For CONSORT-CHM, less than half of the studies specified the formula names, dosage forms, and targeted traditional Chinese medicine (TCM) patterns in their titles and abstracts. Most studies demonstrated a high risk of bias, particularly regarding randomization sequence generation, allocation concealment, and blinding. The meta-analysis indicates that HMFs are effective in treating VM with minimal adverse effects; however, the high heterogeneity in certain outcomes suggests a potential risk of bias. The five most frequently used herbs across all studies were, in descending order: Gastrodiae Rhizoma, Rhizoma Pinelliae, Rhizoma Chuanxiong, Poria, Atractylodis Macrocephalae Rhizoma. Conclusions: The meta-analysis supports the effectiveness and safety of HMFs for treating VM, with a low incidence of adverse events. However, the CONSORT and CONSORT-CHM reporting items were underreported. Future RCTs should strictly adhere to these guidelines to enhance reporting quality, ensuring full transparency in study design and methodolog. This study contributes to a more rigorous evidence base for HMFs in VM treatment. It aims to improve the quality of future RCTs involving herbal formulas for VM, enabling clinicians to make better-informed decisions."
"Efficacy and Safety of Mifepristone and Misoprostol Compared to Misoprostol Alone for the Resolution of Miscarriage and Intrauterine Fetal Death: A Systematic Review and Meta-Analysis","Pirrami R.G., Reinert J.P.","Annals of Pharmacotherapy","10.1177/10600280241289968","59","7","2025","Objective: To determine the efficacy and safety of mifepristone and misoprostol together (intervention) compared to misoprostol alone (comparator) for the resolution of miscarriage and intrauterine fetal death. Data Sources: A systematic review and meta-analysis were conducted following the Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA) methodology through July 2024 that evaluated the efficacy and safety of mifepristone and misoprostol together compared to misoprostol alone for the resolution of miscarriage and intrauterine fetal death through July 2024. Study Selection and Data Extraction: Primary endpoints were overall delivery success, 24-hour delivery success, and incidence of safety outcomes. A P-value of <0.05 was considered statistically significant, and heterogeneity was reported as the I(2) value. Data Synthesis: Twelve randomized controlled trials (RCTs) were included. Overall delivery success was higher in the intervention group (0.73 [CI 0.64-0.82], P < 0.01). Twenty-four-hour delivery rate was higher (1.54 [CI 1.32-1.77], P = 0.06), and a shorter time to delivery interval (9.22-18.78 vs 15.47-37.1 hours) was observed in the intervention group. Gastrointestinal adverse effects were more frequent in the intervention group (0.04 [CI –0.03 to 0.12], P < 0.01). Relevance to Patient Care and Clinical Practice: Mifepristone and misoprostol together demonstrated higher delivery success rates and comparable safety outcomes to misoprostol alone, demonstrating the potential of improving patient care and positively impacting the time to successful delivery for patients at the bedside. Conclusions: The use of mifepristone and misoprostol together for the resolution of miscarriage and intrauterine fetal death is warranted over the use of misoprostol alone."
"A Comprehensive Review and Meta-analysis on the Treatment of Acute Gastroenteritis in Children with a Bacillus clausii Preparation (Enterogermina(®))","Michel M.C., Pellegrino P.","Advances in Therapy","10.1007/s12325-025-03221-8","42","7","2025","Several probiotics have become guideline-recommended treatments for acute gastroenteritis in children, but no recommendation was made for Bacillus clausii preparations on the basis of too limited data. As available B. clausii preparations differ in regard to strain composition and pharmaceutical quality, we focused on the most frequently investigated preparation that is available under the brand name Enterogermina(®), which includes a combination of the O/C, SIN, N/R, and T strains. We performed a systematic review and meta-analysis including several newer studies. We identified 11 randomized and three non-randomized controlled trials. A meta-analysis was performed for the three most often reported parameters in the randomized trials, i.e., duration of diarrhea, number of stools, and duration of hospital stay. Risk of bias was assessed using the Centre for Reviews and Dissemination criteria. Risk of bias of the randomized trials was classified as fair to good. The duration of diarrhea was reduced by 0.6 Hedge's g, the number of stools by 0.34 Hedge's g, and the duration of hospital stay by 0.27 Hedge's g (p < 0.05 for all three parameters). Several other parameters also appeared improved. Adverse events were absent or similarly present in the B. clausii and control groups. We conclude that the B. clausii preparation analyzed here is an effective and well-tolerated treatment of acute gastroenteritis in children. However, more high-quality randomized controlled trials are needed, particularly in comparison to other probiotics."
"Microbiota transplant for hepatic encephalopathy in cirrhosis: The THEMATIC trial","Bajaj J.S., Fagan A., Gavis E.A., Sterling R.K., Gallagher M.L., Lee H., Matherly S.C., Siddiqui M.S., Bartels A., Mousel T., Davis B.C., Puri P., Fuchs M., Moutsoglou D.M., Thacker L.R., Sikaroodi M., Gillevet P.M., Khoruts A.","Journal of Hepatology","10.1016/j.jhep.2024.12.047","83","1","2025","Background & Aims: Preventing hepatic encephalopathy (HE) recurrence in cirrhosis, which is associated with an altered gut-liver-brain axis, is an unmet need. Benefits of fecal microbiota transplantation (FMT) have been shown in phase I studies, but route and dose-related questions remain. Methods: We performed a phase II randomized, placebo-controlled, double-blind, clinical trial of capsule and enema FMT in patients with cirrhosis and HE on lactulose and rifaximin. Participants were randomized into four groups (3 active doses; 2 active and 1 placebo dose; 1 active and 2 placebo doses; 3 placebo doses). Each patient received two capsules and one enema (either placebo or FMT) and were followed for 6 months. The primary outcome was FMT-related (serious) adverse events ([s]AEs)/AEs using intention-to-treat analysis. Secondary outcomes were HE recurrence, all-cause hospitalizations, death, donor engraftment, and quality-of-life. FMT was from a vegan or omnivorous donor. Results: We enrolled 60 patients (15/group) with similar baseline characteristics. FMT was safe, with no FMT-related SAEs/AEs reported. Overall SAEs (p = 0.96) or death (p = 1.0) were similar. There were significant differences in HE recurrence between groups (p = 0.035, Cramer's V = 0.39). On post hoc analysis, recurrence was highest in the all-placebo vs. any FMT group (40% vs. 9%; odds ratio 0.15, 95% CI 0.04–0.64). Within the FMT groups, HE recurrence rates were similar regardless of route, doses, or donor type. Quality of life improved in FMT-recipient groups. Engraftment was highest in those with high pre-FMT Lachnospiraceae and lower in those whose HE recurred. Conclusions: FMT was safe in patients with cirrhosis and HE on maximal therapy, with no FMT-related AEs reported, regardless of dose, route, or donor type. On post hoc analysis, HE recurrence was highest in the placebo-only group and linked with lower baseline Lachnospiraceae and reduced donor engraftment. Impact and implications: Patients with hepatic encephalopathy (HE) already on maximal therapy could have recurrences, which worsen prognosis and are not prioritized for liver transplant. In this phase II, double-blind, randomized, placebo-controlled trial in patients with cirrhosis and prior overt HE, we found that fecal microbiota transplant (FMT) was safe and well tolerated regardless of route of delivery (oral or enema), number of doses (1 through 3), or donor type (vegan or omnivorous). HE recurrence, which was a key secondary endpoint, was different between groups and, on post hoc analysis, lowest in groups that received any FMT. Donor engraftment was higher in those with higher relative abundance of Lachnospiraceae, which was associated with lower HE recurrence."
"The Effectiveness of Oral Vancomycin on Inflammatory Bowel Disease in Patients with Primary Sclerosing Cholangitis: A Systematic Review","Arbabzada N., Dennett L., Meng G., Peerani F.","Inflammatory Bowel Diseases","10.1093/ibd/izae257","31","7","2025","Background Approximately 70% of primary sclerosing cholangitis (PSC) patients have inflammatory bowel disease (IBD). The IBD therapies currently used to treat PSC-IBD patients have side effects and can be costly. Oral vancomycin (OV) - a safe, economical, and convenient therapy - has been reported to be a salvage therapy in refractory PSC-IBD patients. This systematic review aims to summarize the current literature regarding the effectiveness and safety of OV to treat IBD in PSC patients. Methods A systematic literature review of Scopus, Embase, Web of Science, MEDLINE, and CINAHL was performed until March 2024. The Murad scale, Newcastle-Ottawa scale, and Cochrane Collaboration Risk of Bias Tool were used to determine the quality of the case reports and case series, cohort studies, and randomized controlled trial (RCT), respectively. The outcomes sought were response or remission across clinical, biochemical, endoscopic, and histological parameters. Results Of the 1725 published studies, we identified 9 case reports, 7 case series, 3 cohort studies, and 1 RCT. Most studies reported an improvement in clinical IBD symptoms such as diarrhea and hematochezia. Fewer publications provided supporting objective data in the form of fecal calprotectin, endoscopic Mayo scores, and histology. There were no reports of vancomycin-resistant enterococci infections. Conclusions Oral vancomycin appears safe and effective to treat IBD in a subset of PSC patients. Future studies would benefit from prospective data collection incorporating standardized symptomatic, endoscopic, and histologic indices. Ultimately, a well-powered RCT is needed to better assess the effectiveness, safety, and durability of OV therapy."
